trip_id,date,date_time,day,driver,car_type,city,price,price_round,start_time,start_address,end_time,end_address,distance in km,duration in minutes
5272c4da-4a29-4e8c-974f-6c96946a0141,09/16/16,"Friday, September 16, 2016 11:47 AM",Friday,Vikram,uberGO,Delhi NCR,329.8,329.8,11:47 AM,"B-145, B Block, Sector 36, Noida, Uttar Pradesh 201301, India",12:27 PM,"Nift Campus, Main Road, Hauz Khas, Hauz Khas, New Delhi, Delhi 110016, India",17.8,40
32e48edf-8fa8-4a52-92e7-942c43fd63e3,09/14/16,"Wednesday, September 14, 2016 3:05 PM",Wednesday,piyush,uberGO,Delhi NCR,455.73,455.7,3:05 PM,"B-145, B Block, Sector 36, Noida, Uttar Pradesh 201301, India",4:25 PM,"Safdarjung Enclave, New Delhi, Delhi",19.9,80
9013ccb4-45a7-4351-96b6-7d806cbf983e,08/10/16,"Wednesday, August 10, 2016 7:59 AM",Wednesday,Sanjeeb,uberGO,Delhi NCR,328.29,328.3,7:59 AM,"B-145, B Block, Sector 36, Noida, Uttar Pradesh 201301, India",8:38 AM,"Nift Campus, Main Road, Hauz Khas, Hauz Khas, New Delhi, Delhi 110016, India",17.8,39
df70e4a7-2593-47c5-b34d-1f3f92d714af,07/18/16,"Monday, July 18, 2016 9:37 AM",Monday,Jatin,uberGO,Delhi NCR,254.16,254.2,9:37 AM,"B-146, B Block, Sector 36, Noida, Uttar Pradesh 201301, India",9:58 AM,"No. 24A, Film City, Sector 16A, Noida, Uttar Pradesh 201301, India",13.6,21
de8896f8-5ef5-443d-8e88-66348d487271,07/15/16,"Friday, July 15, 2016 9:15 AM",Friday,Irshad,uberGO,Delhi NCR,110,110,9:15 AM,"B-146, B Block, Sector 36, Noida, Uttar Pradesh 201301, India",9:34 AM,"No. 24A, Film City, Sector 16A, Noida, Uttar Pradesh 201301, India",13.6,19
1e4e4518-d060-4fc8-a1a1-c20865f71c10,07/13/16,"Wednesday, July 13, 2016 6:04 PM",Wednesday,Munmun,uberGO,Delhi NCR,99.38,99.4,6:04 PM,"No. 24A, Film City, Sector 16A, Noida, Uttar Pradesh 201301, India",6:27 PM,"Sector 36, Noida, Uttar Pradesh 201303, India",5.8,23
fd8492b9-b265-401f-acfc-32b7445a5606,07/11/16,"Monday, July 11, 2016 5:43 PM",Monday,Vikram Singh,uberGO,Delhi NCR,79.36,79.4,5:43 PM,"BAG Flims Limited, Film City, Sector 16A, Noida, Uttar Pradesh 201301, India",6:10 PM,"B-116, B Block, Sector 36, Noida, Uttar Pradesh 201301, India",5.1,27
b2df8a71-ea44-4946-9b35-5c3fb26d027c,07/04/16,"Monday, July 4, 2016 4:28 PM",Monday,Sharad,uberGO,Delhi NCR,84.08,84.1,4:28 PM,"BAG Flims Limited, Film City, Sector 16A, Noida, Uttar Pradesh 201301, India",4:42 PM,"Sector 36, Noida, Uttar Pradesh 201303, India",5.1,14
78ac0cda-e44c-4658-9a22-c13a6fd8cb65,07/04/16,"Monday, July 4, 2016 9:04 AM",Monday,Arvind,uberGO,Delhi NCR,130.59,130.6,9:04 AM,"B-146, B Block, Sector 36, Noida, Uttar Pradesh 201301, India",9:31 AM,"No. 24A, Film City, Sector 16A, Noida, Uttar Pradesh 201301, India",5.8,27
b4e21df0-60fe-4b59-a7f1-e4fb7d289777,07/01/16,"Friday, July 1, 2016 8:59 AM",Friday,Sameer,uberGO,Delhi NCR,113.39,113.4,8:59 AM,"B-145, B Block, Sector 36, Noida, Uttar Pradesh 201301, India",9:19 AM,"No. 24A, Film City, Sector 16A, Noida, Uttar Pradesh 201301, India",5.8,20
82e393e0-5aa2-4b3f-a693-c1a92b967923,06/30/16,"Thursday, June 30, 2016 5:59 PM",Thursday,Taranjeet,uberGO,Delhi NCR,87.89,87.9,5:59 PM,"BAG Flims Limited, Film City, Sector 16A, Noida, Uttar Pradesh 201301, India",6:15 PM,"B-116, B Block, Sector 36, Noida, Uttar Pradesh 201301, India",5.1,16
c2c7588d-e015-421a-9b21-2a95aa6a41dc,06/28/16,"Tuesday, June 28, 2016 8:17 AM",Tuesday,Kapil,uberGO,Delhi NCR,84.96,85,8:17 AM,"B-144, B Block, Sector 36, Noida, Uttar Pradesh 201301, India",8:35 AM,"No. 24A, Film City, Sector 16A, Noida, Uttar Pradesh 201301, India",5.8,19
b8664917-05ba-43ae-b31e-5268a673f93b,06/27/16,"Monday, June 27, 2016 5:30 PM",Monday,Shane,uberGO,Delhi NCR,86.41,86.4,5:30 PM,"BAG Flims Limited, Film City, Sector 16A, Noida, Uttar Pradesh 201301, India",5:47 PM,"Sector 36, Noida, Uttar Pradesh 201303, India",5.8,17
fcf11e39-ff07-4b43-bd5b-1ece963b3c41,06/24/16,"Friday, June 24, 2016 9:06 AM",Friday,Praveen Kumar,uberGO,Delhi NCR,85.99,86,9:06 AM,"B-145, B Block, Sector 36, Noida, Uttar Pradesh 201301, India",9:24 AM,"No. 24A, Film City, Sector 16A, Noida, Uttar Pradesh 201301, India",5.8,19
a4a25397-55ff-42c2-a75d-2165470f6727,06/23/16,"Thursday, June 23, 2016 5:42 PM",Thursday,Nagender,uberGO,Delhi NCR,95.45,95.5,5:42 PM,"No. 24A, Film City, Sector 16A, Noida, Uttar Pradesh 201301, India",6:01 PM,"Sector 36, Noida, Uttar Pradesh 201303, India",5.1,19
8f5be999-c080-4611-9a4a-de81cb018604,06/22/16,"Wednesday, June 22, 2016 8:58 AM",Wednesday,Shambhu,uberGO,Delhi NCR,86.67,86.7,8:58 AM,"B-116, B Block, Sector 36, Noida, Uttar Pradesh 201301, India",9:15 AM,"No. 24A, Film City, Sector 16A, Noida, Uttar Pradesh 201301, India",5.8,17
cf392c29-43af-48d9-9773-a4ab4c07f1b2,06/08/16,"Wednesday, June 8, 2016 12:57 PM",Wednesday,Surender,uberGO,Delhi NCR,88.58,88.6,12:57 PM,"No. 24A, Film City, Sector 16A, Noida, Uttar Pradesh 201301, India",1:14 PM,"Sector 36, Noida, Uttar Pradesh 201303, India",5.1,17
